,Outside Air Temperature,Outside Air Relative Humidity,Solar Irradiation,Heating Water Flow Rate,Cooling Water Flow Rate,Heating Energy,Cooling Energy,Electrical Energy
2019-06-07 07:00:00,69.96319580078125,84.93738555908203,46.0,13.204014,75.5946350097656,34.508031129837036,475.45800399780273,117.86832099999921
2019-06-07 08:00:00,69.36445617675781,87.26519012451172,46.0,13.517037,67.0052108764648,34.41552662849426,488.86217880249023,213.6202299999992
2019-06-07 09:00:00,69.04407501220703,89.4303970336914,27.0,13.449893,64.2520294189453,35.29052424430847,482.99780654907227,171.02646499999923
2019-06-07 10:00:00,69.04407501220703,89.9261703491211,79.0,5.9874220000000005,86.87012481689449,37.149680614471436,457.6069793701172,178.47981199999924
2019-06-07 11:00:00,69.04407501220703,89.98665618896484,762.0,12.587292999999999,70.354362487793,37.14794039726257,467.6416244506836,176.62251699999922
2019-06-07 12:00:00,69.04407501220703,89.81783294677734,349.0,13.077925,78.667350769043,37.55269479751587,456.8910083770752,181.94054399999922
2019-06-07 13:00:00,69.346923828125,89.68173217773438,459.0,13.312010999999998,75.82923889160159,37.29503297805786,442.9780445098877,192.15568099999925
2019-06-07 14:00:00,69.346923828125,89.67931365966797,321.0,13.061012,80.1290283203125,37.729811906814575,409.93974113464355,185.4438579999992
2019-06-07 15:00:00,69.04100036621094,89.3250503540039,234.0,13.048849,72.4252395629883,32.11296510696411,375.95128059387207,179.97760699999918
2019-06-07 16:00:00,69.04100036621094,88.55889892578125,189.0,12.98066,74.154541015625,21.844857215881348,459.7854995727539,190.15752799999922
2019-06-07 17:00:00,71.76551818847656,78.67218780517578,132.0,13.465063,74.6495361328125,37.431846618652344,503.9105396270752,186.45030499999922
2019-06-07 18:00:00,73.56935119628906,74.00440979003906,76.0,13.206738,82.25340270996091,41.29859638214111,510.1388931274414,195.83423299999922
2019-06-07 19:00:00,73.97644805908203,71.9759750366211,5.0,13.265585,78.5923233032227,41.419142961502075,534.0281372070312,199.09884099999923
2019-06-07 20:00:00,74.59998321533203,73.30378723144531,0.0,13.170373000000001,85.4054260253906,37.59857749938965,467.5189514160156,191.02352899999923
2019-06-07 21:00:00,74.59172058105469,74.0825424194336,0.0,13.395175,89.2134857177734,36.89500117301941,485.88967514038086,187.9300789999992
2019-06-07 22:00:00,71.39812469482422,75.05010223388672,0.0,13.116943,82.2934494018555,37.746248722076416,518.3697242736816,187.23687399999918
2019-06-07 23:00:00,70.40641784667969,85.6700439453125,0.0,13.217505,66.3795700073242,37.371108531951904,531.2824325561523,180.96890299999916
2019-06-08 00:00:00,71.32121276855469,86.1886215209961,0.0,13.233192,61.2045707702637,36.06597280502319,511.24024963378906,162.2010379999992
2019-06-08 01:00:00,70.70963287353516,85.97644805908203,0.0,13.079883,61.7080879211426,37.24617338180542,539.4409523010254,165.68182999999922
2019-06-08 02:00:00,69.47855377197266,85.32977294921875,0.0,13.182637,60.590061187744105,39.190268754959106,549.4073638916016,163.8237109999992
2019-06-08 03:00:00,69.17755126953125,85.31206512451172,0.0,13.452729000000001,60.9665298461914,41.34354901313782,495.14552307128906,161.7694689999992
2019-06-08 04:00:00,69.48516845703125,85.32345581054688,0.0,13.374084,57.961574554443395,41.00586986541748,470.16517639160156,158.3087379999992
2019-06-08 05:00:00,69.48516845703125,85.98888397216797,31.0,13.29395,64.7094802856445,40.28673529624939,400.1310062408447,163.6967809999992
2019-06-08 06:00:00,69.48516845703125,85.42709350585938,111.0,13.451831,59.8363265991211,32.64889168739319,393.9278049468994,145.11071299999918
2019-06-08 07:00:00,69.79289245605469,86.6039810180664,269.0,13.150193,59.4508171081543,32.39451742172241,388.5195026397705,74.10023899999916
2019-06-08 08:00:00,69.489501953125,86.8758773803711,208.0,13.486489,59.058353424072294,32.79713821411133,389.3269748687744,224.9969899999992
2019-06-08 09:00:00,69.489501953125,87.40802001953125,350.0,13.382476,58.108226776123104,31.99316692352295,380.78579902648926,148.16075699999914
2019-06-08 10:00:00,69.489501953125,87.29154205322266,687.0,13.510179999999998,63.7040405273438,33.085158348083496,420.7023868560791,148.33928299999914
2019-06-08 11:00:00,69.489501953125,86.9330825805664,586.0,13.289264999999999,63.929561614990206,34.0438187122345,351.7457447052002,151.11867299999915
2019-06-08 12:00:00,70.09249114990234,84.26396179199219,564.0,13.187393,68.68582153320311,33.765907526016235,396.63886070251465,118.25852699999918
2019-06-08 13:00:00,70.69405364990234,80.9185562133789,689.0,12.915986,75.4577865600586,33.77455449104309,388.71685218811035,204.40744399999915
2019-06-08 14:00:00,71.6220932006836,79.18603515625,718.0,12.715712,73.9422836303711,32.46548295021057,384.30089950561523,170.96096099999914
2019-06-08 15:00:00,74.10919952392578,73.08080291748047,355.0,8.512689,73.8917007446289,32.1632981300354,430.63402938842773,168.88910699999914
2019-06-08 16:00:00,77.39178466796875,63.1091423034668,474.0,5.8863993,76.7104797363281,32.51134538650513,431.1840515136719,173.09832199999914
2019-06-08 17:00:00,77.3936767578125,59.9830322265625,234.0,6.063871,70.3744354248047,32.551162242889404,454.14985847473145,165.34156799999914
2019-06-08 18:00:00,78.65906524658203,56.1082649230957,36.0,5.2770257,73.5381164550781,32.016119718551636,500.4799499511719,161.4083249999991
2019-06-08 19:00:00,78.12998962402344,63.58311080932617,7.0,5.952548999999999,69.8268356323242,32.47995638847351,465.40595626831055,170.9982159999991
2019-06-08 20:00:00,79.6421890258789,59.12107849121094,0.0,5.8384547,67.94317626953129,30.792060613632202,483.4203338623047,119.01684299999911
2019-06-08 21:00:00,77.75007629394531,54.40457534790039,0.0,7.357332,66.1460418701172,23.225749731063843,509.56769943237305,204.06472799999912
2019-06-08 22:00:00,75.84913635253906,64.45760345458984,0.0,7.094589699999999,83.250358581543,21.519394278526306,477.03053283691406,171.92072399999915
2019-06-08 23:00:00,77.59574127197266,61.0421142578125,0.0,8.349403,79.5065002441406,21.32810938358307,483.1749801635742,175.87853599999917
2019-06-09 00:00:00,74.1573486328125,72.0609359741211,0.0,9.910034,73.7379531860352,21.367461800575256,445.2374687194824,163.74059399999916
2019-06-09 01:00:00,74.2519760131836,74.5737075805664,0.0,9.7404995,71.1122741699219,20.922817945480347,450.8063087463379,156.36136699999918
2019-06-09 02:00:00,74.8885726928711,75.89826202392578,0.0,9.838773,70.54811096191409,24.18872082233429,475.3448314666748,168.82973499999918
2019-06-09 03:00:00,74.26368713378906,75.88233184814453,0.0,10.093352000000001,63.2629928588867,27.145243406295776,471.6123962402344,150.68588499999922
2019-06-09 04:00:00,73.02875518798828,75.37841033935547,0.0,9.616982,67.9078216552734,27.52185559272766,469.19248962402344,164.49235699999917
